Dataset,Channel,Sparsifying Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
bciiv_1,Pz,DCT,OMP,1.3641411060696877,0.013641411060696877,19.39752248412081,1.402850866317749
bciiv_1,P2,DCT,OMP,2.3601423052606405,0.023601423052606405,20.567838050818686,1.402850866317749
bciiv_1,P4,DCT,OMP,1.258764208995742,0.012587642089957421,20.129894854289418,1.402850866317749
bciiv_1,P6,DCT,OMP,0.22483167034898205,0.0022483167034898204,26.634116363937288,1.402850866317749
bciiv_1,PO1,DCT,OMP,1.4406414139983816,0.014406414139983816,18.490592329153078,1.402850866317749
bciiv_1,PO2,DCT,OMP,2.2709852759078855,0.022709852759078854,20.82506297919995,1.402850866317749
bciiv_1,O1,DCT,OMP,1.226134327727921,0.012261343277279211,23.373070979284186,1.402850866317749
bciiv_1,O2,DCT,OMP,0.2810814888954483,0.0028108148889544834,26.1154300278658,1.402850866317749
bciiv_1,AF3,DCT,OMP,0.8307490793869424,0.008307490793869424,22.289309458997145,1.3934381008148193
bciiv_1,AF4,DCT,OMP,0.4118119648814842,0.004118119648814842,23.891406110685743,1.3934381008148193
bciiv_1,F5,DCT,OMP,0.9529804139305996,0.009529804139305997,20.69182744802721,1.3934381008148193
bciiv_1,F3,DCT,OMP,0.7037780623707561,0.007037780623707561,22.385375735185747,1.3934381008148193
bciiv_1,F1,DCT,OMP,0.8452062917856795,0.008452062917856796,21.500406541075282,1.3934381008148193
bciiv_1,Fz,DCT,OMP,1.0477986229668836,0.010477986229668836,21.059200644536034,1.3934381008148193
bciiv_1,F2,DCT,OMP,1.4147780891281856,0.014147780891281856,20.058642024356313,1.3934381008148193
bciiv_1,F4,DCT,OMP,0.3029314915423615,0.003029314915423615,25.678922473858506,1.3934381008148193
bciiv_1,F6,DCT,OMP,0.8919270006621942,0.008919270006621943,20.52402715861514,1.3934381008148193
bciiv_1,FC5,DCT,OMP,0.8424245964660623,0.008424245964660623,21.355074386558613,1.3934381008148193
bciiv_1,FC3,DCT,OMP,1.1393329434605834,0.011393329434605835,19.50669385588138,1.3934381008148193
bciiv_1,FC1,DCT,OMP,1.752358310053799,0.01752358310053799,17.557368329064854,1.3934381008148193
bciiv_1,FCz,DCT,OMP,1.2790551388721694,0.012790551388721693,19.602241840784036,1.3934381008148193
bciiv_1,FC2,DCT,OMP,1.6924991470872972,0.016924991470872973,19.849511783464102,1.3934381008148193
bciiv_1,FC4,DCT,OMP,0.5834855141092854,0.005834855141092854,22.92216974596005,1.3934381008148193
bciiv_1,FC6,DCT,OMP,0.29800839813888935,0.0029800839813888935,25.251381813029205,1.3934381008148193
bciiv_1,CFC7,DCT,OMP,1.0540619395233497,0.010540619395233496,21.08886921009455,1.3934381008148193
bciiv_1,CFC5,DCT,OMP,0.4113892358677156,0.004113892358677156,24.587349897827945,1.3934381008148193
bciiv_1,CFC3,DCT,OMP,1.4410392299515133,0.014410392299515134,20.260820290752154,1.3934381008148193
bciiv_1,CFC1,DCT,OMP,1.7492387326729457,0.017492387326729458,17.996035841534603,1.3934381008148193
bciiv_1,CFC2,DCT,OMP,2.044438286841783,0.02044438286841783,19.375011304176827,1.3934381008148193
bciiv_1,CFC4,DCT,OMP,2.278299817829335,0.02278299817829335,16.365847149384443,1.3934381008148193
bciiv_1,CFC6,DCT,OMP,0.3586706344044162,0.003586706344044162,24.757118768821176,1.3934381008148193
bciiv_1,CFC8,DCT,OMP,0.3316677859213036,0.003316677859213036,25.893925471024588,1.3934381008148193
bciiv_1,T7,DCT,OMP,0.30382154872239664,0.0030382154872239664,25.950253219302116,1.3934381008148193
bciiv_1,C5,DCT,OMP,0.6430857263690143,0.0064308572636901425,23.64158594462534,1.3934381008148193
bciiv_1,C3,DCT,OMP,2.069068538630381,0.02069068538630381,17.514143572199863,1.3934381008148193
bciiv_1,C1,DCT,OMP,2.281137754427264,0.022811377544272638,17.37597164710487,1.3934381008148193
bciiv_1,Cz,DCT,OMP,1.8603798000188232,0.018603798000188233,18.084086897268413,1.3934381008148193
bciiv_1,C2,DCT,OMP,2.174469305246063,0.02174469305246063,16.856815569024334,1.3934381008148193
bciiv_1,C4,DCT,OMP,1.8857996885277686,0.018857996885277686,17.211411046290692,1.3934381008148193
bciiv_1,C6,DCT,OMP,0.7083994094952363,0.0070839940949523625,21.884220653057955,1.3934381008148193
bciiv_1,T8,DCT,OMP,0.3821598617778388,0.0038215986177783877,25.144794983677727,1.3934381008148193
bciiv_1,CCP7,DCT,OMP,1.003823470937098,0.010038234709370979,20.691518187760323,1.3934381008148193
bciiv_1,CCP5,DCT,OMP,2.8131534364843565,0.028131534364843565,15.963258278400382,1.3934381008148193
bciiv_1,CCP3,DCT,OMP,2.5239543355351177,0.02523954335535118,16.120542539636247,1.3934381008148193
bciiv_1,CCP1,DCT,OMP,2.2919457337611226,0.022919457337611224,18.745023819884345,1.3934381008148193
bciiv_1,CCP2,DCT,OMP,2.050276083681189,0.02050276083681189,19.188835018372316,1.3934381008148193
bciiv_1,CCP4,DCT,OMP,0.7557795763729367,0.007557795763729367,22.357072838766456,1.3934381008148193
bciiv_1,CCP6,DCT,OMP,0.33405552937939853,0.003340555293793985,25.766828988564782,1.3934381008148193
bciiv_1,CCP8,DCT,OMP,0.3579419945798,0.003579419945798,25.85196151476368,1.3934381008148193
bciiv_1,CP5,DCT,OMP,2.3662572663536743,0.023662572663536743,16.753463855021632,1.3934381008148193
bciiv_1,CP3,DCT,OMP,1.6733254782749947,0.016733254782749948,18.47089128692502,1.3934381008148193
bciiv_1,CP1,DCT,OMP,1.8122067897753054,0.018122067897753055,18.41553737154659,1.3934381008148193
bciiv_1,CPz,DCT,OMP,2.906145178948802,0.02906145178948802,17.908810364639777,1.3934381008148193
bciiv_1,CP2,DCT,OMP,2.0213558860796215,0.020213558860796215,17.506841872399633,1.3934381008148193
bciiv_1,CP4,DCT,OMP,1.1720786679850403,0.011720786679850404,22.211258484934902,1.3934381008148193
bciiv_1,CP6,DCT,OMP,0.3861910215546825,0.003861910215546825,24.429559401450312,1.3934381008148193
bciiv_1,P5,DCT,OMP,3.8483667763123752,0.03848366776312375,15.860782264846264,1.3934381008148193
bciiv_1,P3,DCT,OMP,3.7426092165954077,0.03742609216595408,14.656466616014633,1.3934381008148193
bciiv_1,P1,DCT,OMP,3.917661864826536,0.03917661864826536,15.946904914783245,1.3934381008148193
bciiv_1,Pz,DCT,OMP,2.0028643965511983,0.020028643965511985,18.34620147849806,1.3934381008148193
bciiv_1,P2,DCT,OMP,2.833128253075434,0.02833128253075434,15.55023635293745,1.3934381008148193
bciiv_1,P4,DCT,OMP,1.519521110010815,0.015195211100108151,18.48249288937168,1.3934381008148193
bciiv_1,P6,DCT,OMP,0.5572133130448319,0.005572133130448319,23.17094668523935,1.3934381008148193
