Dataset,Channel,Sensing Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
chbmit,FT9-FT10,Gaussian,OMP,34.32038422652741,0.34320384226527406,5.249524825663981,0.7759256362915039
chbmit,FT10-T8,Gaussian,OMP,50.61960155391962,0.5061960155391962,3.8333322183391405,0.7759256362915039
chbmit,FP1-F7,Gaussian,OMP,36.967993045979625,0.36967993045979625,4.938947683715877,0.7881226539611816
chbmit,F7-T7,Gaussian,OMP,9.24870936524099,0.0924870936524099,10.761958928389673,0.7881226539611816
chbmit,T7-P7,Gaussian,OMP,4.794622576976284,0.04794622576976284,13.186233304151367,0.7881226539611816
chbmit,P7-O1,Gaussian,OMP,2.8637304258451097,0.028637304258451096,15.40698789199606,0.7881226539611816
chbmit,FP1-F3,Gaussian,OMP,1.9287920912296992,0.01928792091229699,17.210861137978224,0.7881226539611816
chbmit,F3-C3,Gaussian,OMP,12.633855051007274,0.12633855051007273,9.417230037162282,0.7881226539611816
chbmit,C3-P3,Gaussian,OMP,3.355176432601163,0.03355176432601163,14.88810401684701,0.7881226539611816
chbmit,P3-O1,Gaussian,OMP,2.2052356888014235,0.022052356888014237,16.62748715865481,0.7881226539611816
chbmit,FP2-F4,Gaussian,OMP,2.5915303323298198,0.025915303323298198,15.890837574009801,0.7881226539611816
chbmit,F4-C4,Gaussian,OMP,5.451178909040799,0.054511789090407985,12.5987735485666,0.7881226539611816
chbmit,C4-P4,Gaussian,OMP,2.7769174478854812,0.02776917447885481,15.835723857249015,0.7881226539611816
chbmit,P4-O2,Gaussian,OMP,2.9721719140213985,0.029721719140213987,15.216770223408806,0.7881226539611816
chbmit,FP2-F8,Gaussian,OMP,5.935072930599356,0.059350729305993555,12.38765878235737,0.7881226539611816
chbmit,F8-T8,Gaussian,OMP,8.341158995743992,0.08341158995743991,11.018495285921672,0.7881226539611816
chbmit,T8-P8,Gaussian,OMP,12.10648203414614,0.1210648203414614,9.087711852724242,0.7881226539611816
chbmit,P8-O2,Gaussian,OMP,3.0966146234891916,0.030966146234891915,14.988835475314058,0.7881226539611816
chbmit,FZ-CZ,Gaussian,OMP,34.442690167542146,0.34442690167542145,5.264724376284055,0.7881226539611816
chbmit,CZ-PZ,Gaussian,OMP,9.21581250861211,0.0921581250861211,10.61659562737169,0.7881226539611816
chbmit,P7-T7,Gaussian,OMP,4.794622576976304,0.04794622576976304,13.192041853280255,0.7881226539611816
chbmit,T7-FT9,Gaussian,OMP,11.379524807766646,0.11379524807766647,9.770076849229921,0.7881226539611816
chbmit,FT9-FT10,Gaussian,OMP,10.223616051870449,0.10223616051870449,10.2676925126175,0.7881226539611816
chbmit,FT10-T8,Gaussian,OMP,6.542402193238931,0.0654240219323893,11.923550460523511,0.7881226539611816
bciiv_1,AF3,Gaussian,OMP,8.678192288116648,0.08678192288116648,13.139072657365546,1.9242358207702637
bciiv_1,AF4,Gaussian,OMP,2.353699006643187,0.02353699006643187,16.439627364472372,1.9242358207702637
bciiv_1,F5,Gaussian,OMP,15.13711312489979,0.1513711312489979,15.906570655510448,1.9242358207702637
bciiv_1,F3,Gaussian,OMP,7.332072038347004,0.07332072038347004,15.059247281685387,1.9242358207702637
